,searchTerms,rank,title,snippet,displayLink,link,queryTime,totalResults
0,online yoga class,1,Yoga For Complete Beginners - 20 Minute Home Yoga Workout ...,"Nov 17, 2013 ... Hop on the mat and start to build the foundation of your own yoga practice with ... 
Feels Good and access over 700 videos including yoga and meditation for all 
levels. ... Gentle Yoga Flow - 30-Minute All Levels Yoga Class.",www.youtube.com,https://www.youtube.com/watch?v=v7AYKMP6rOE,2020-11-08 11:52:18.301076+00:00,444000000
1,online yoga class,2,"Free Online Yoga. Hundreds of High Quality Classes, Challenges ...","Online yoga videos from DoYogaWithMe.com. We offer 100% free, high-
definition yoga videos, including classes, yoga poses, breathing exercises, yoga
 ...",www.doyogawithme.com,https://www.doyogawithme.com/,2020-11-08 11:52:18.301076+00:00,444000000
2,online yoga class,3,The 8 Best Online Yoga Classes of 2020,"The 8 Best Online Yoga Classes of 2020 · Find zen from anywhere · Our Top 
Picks · Yoga with Adriene, HOME - A 30 Day Yoga Journey with Adrienne: Best 
Overall.",www.verywellfit.com,https://www.verywellfit.com/best-online-yoga-classes-3567242,2020-11-08 11:52:18.301076+00:00,444000000
3,online yoga class,4,The Best Free Yoga Classes Online,"Apr 9, 2020 ... The Best Free Yoga Classes Online · 1. Do Yoga With Me · 4. Fightmaster Yoga · 
5. Yome.",www.thecut.com,https://www.thecut.com/article/best-free-yoga-classes-online.html,2020-11-08 11:52:18.301076+00:00,444000000
4,online yoga class,5,"Glo Online Yoga | Practice Where You Are, As You Are","Online yoga classes that fit the way you feel—whether you're looking to sweat, 
stretch, or savasana. Practice with supportive teachers. Try us free for 2 weeks.",www.glo.com,https://www.glo.com/yoga-online,2020-11-08 11:52:18.301076+00:00,444000000
5,online yoga class,6,7 Best Online Yoga Classes and Studios 2020 | The Strategist | New ...,"Aug 20, 2020 ... One studio-devoted yogi reviews the best online yoga classes online, including 
Y7 Online Studio (Month Membership), Modo Yoga Online, Sky ...",nymag.com,https://nymag.com/strategist/article/best-online-yoga-classes.html,2020-11-08 11:52:18.301076+00:00,444000000
6,online yoga class,7,The 9 Best YouTube Yoga Channels I Discovered While Practicing ...,"May 5, 2019 ... I practiced yoga at home for free for six years by finding a handful of great yoga ... 
But my ventures into live classes with other humans were rare and sporadic. ... 
Since sifting through thousands of online videos can be a bit ...",www.self.com,https://www.self.com/story/best-youtube-yoga-channels,2020-11-08 11:52:18.301076+00:00,444000000
7,online yoga class,8,Online Yoga Classes | Yoga International,"Choose from hundreds of yoga classes and routines to stream online. Sign up for 
your 14-day free trial and start watching now.",yogainternational.com,https://yogainternational.com/classes/,2020-11-08 11:52:18.301076+00:00,444000000
8,online yoga class,9,Free Classes - CorePower Yoga On Demand,"Click any class below to get started. To get unlimited access to our growing 
collection of 300+ yoga, sculpt and meditation classes, sign up for a free week 
trial.",www.corepoweryogaondemand.com,https://www.corepoweryogaondemand.com/keep-up-your-practice,2020-11-08 11:52:18.301076+00:00,444000000
9,online yoga class,10,Take The Best Online Yoga Classes From The Yoga Collective,"Class duration ranges from 10 to 60 minutes, and each yoga teacher provides 
the accurate, meticulous instruction you expect when entering a yoga studio. Find
 ...",www.theyogacollective.com,https://www.theyogacollective.com/our-classes/,2020-11-08 11:52:18.301076+00:00,444000000
10,yoga online class,1,Yoga For Complete Beginners - 20 Minute Home Yoga Workout ...,"Nov 17, 2013 ... Hop on the mat and start to build the foundation of your own yoga practice with ... 
Feels Good and access over 700 videos including yoga and meditation for all 
levels. ... Gentle Yoga Flow - 30-Minute All Levels Yoga Class.",www.youtube.com,https://www.youtube.com/watch?v=v7AYKMP6rOE,2020-11-08 11:52:18.316687+00:00,498000000
11,yoga online class,2,"Free Online Yoga. Hundreds of High Quality Classes, Challenges ...","Online yoga videos from DoYogaWithMe.com. We offer 100% free, high-
definition yoga videos, including classes, yoga poses, breathing exercises, yoga
 ...",www.doyogawithme.com,https://www.doyogawithme.com/,2020-11-08 11:52:18.316687+00:00,498000000
12,yoga online class,3,The 8 Best Online Yoga Classes of 2020,"The 8 Best Online Yoga Classes of 2020 · Find zen from anywhere · Our Top 
Picks · Yoga with Adriene, HOME - A 30 Day Yoga Journey with Adrienne: Best 
Overall.",www.verywellfit.com,https://www.verywellfit.com/best-online-yoga-classes-3567242,2020-11-08 11:52:18.316687+00:00,498000000
13,yoga online class,4,The Best Free Yoga Classes Online,"Apr 9, 2020 ... The Best Free Yoga Classes Online · 1. Do Yoga With Me · 4. Fightmaster Yoga · 
5. Yome.",www.thecut.com,https://www.thecut.com/article/best-free-yoga-classes-online.html,2020-11-08 11:52:18.316687+00:00,498000000
14,yoga online class,5,"Glo Online Yoga | Practice Where You Are, As You Are","Online yoga classes that fit the way you feel—whether you're looking to sweat, 
stretch, or savasana. Practice with supportive teachers. Try us free for 2 weeks.",www.glo.com,https://www.glo.com/yoga-online,2020-11-08 11:52:18.316687+00:00,498000000
15,yoga online class,6,Free Classes - CorePower Yoga On Demand,"Click any class below to get started. To get unlimited access to our growing 
collection of 300+ yoga, sculpt and meditation classes, sign up for a free week 
trial.",www.corepoweryogaondemand.com,https://www.corepoweryogaondemand.com/keep-up-your-practice,2020-11-08 11:52:18.316687+00:00,498000000
16,yoga online class,7,The 9 Best YouTube Yoga Channels I Discovered While Practicing ...,"May 5, 2019 ... I practiced yoga at home for free for six years by finding a handful of great yoga ... 
But my ventures into live classes with other humans were rare and sporadic. ... 
Since sifting through thousands of online videos can be a bit ...",www.self.com,https://www.self.com/story/best-youtube-yoga-channels,2020-11-08 11:52:18.316687+00:00,498000000
17,yoga online class,8,7 Best Online Yoga Classes and Studios 2020 | The Strategist | New ...,"Aug 20, 2020 ... One studio-devoted yogi reviews the best online yoga classes online, including 
Y7 Online Studio (Month Membership), Modo Yoga Online, Sky ...",nymag.com,https://nymag.com/strategist/article/best-online-yoga-classes.html,2020-11-08 11:52:18.316687+00:00,498000000
18,yoga online class,9,Online Yoga Classes | Yoga International,"Choose from hundreds of yoga classes and routines to stream online. Sign up for 
your 14-day free trial and start watching now.",yogainternational.com,https://yogainternational.com/classes/,2020-11-08 11:52:18.316687+00:00,498000000
19,yoga online class,10,CorePower Yoga On Demand,"Get unlimited access to our growing collection of online yoga, sculpt & meditation 
classes for just $19.99/month. New classes added each month! Every Format, ...",www.corepoweryogaondemand.com,https://www.corepoweryogaondemand.com/,2020-11-08 11:52:18.316687+00:00,498000000
